series_id,game_num,blue_team,red_team,team,opp_team,side,player,champion,draft_champion,role,pick_order,pick_turn_global,pick_phase,win,result
2882827,1,CG,HMB,HMB,CG,Red,Click,Rakan,Galio,SUP,10,20.0,2.0,True,Win
2882827,2,HMB,CG,HMB,CG,Blue,APP,Gnar,Corki,TOP,1,7.0,1.0,True,Win
2882827,2,HMB,CG,CG,HMB,Red,TheMountain,Ornn,Aphelios,TOP,2,8.0,1.0,False,Loss
2882827,2,HMB,CG,CG,HMB,Red,Fragola,DrMundo,Ornn,JGL,3,9.0,1.0,False,Loss
2882827,2,HMB,CG,HMB,CG,Blue,adi1,Pantheon,Gnar,JGL,4,10.0,1.0,True,Win
2882827,2,HMB,CG,HMB,CG,Blue,Vigil,Viktor,Pantheon,MID,5,11.0,1.0,True,Win
2882827,2,HMB,CG,CG,HMB,Red,Bisgaard,Aurora,Dr. Mundo,MID,6,12.0,1.0,False,Loss
2882827,2,HMB,CG,CG,HMB,Red,Piskhello,Aphelios,Aurora,BOT,7,17.0,2.0,False,Loss
2882827,2,HMB,CG,HMB,CG,Blue,Tyrone,Corki,Nautilus,BOT,8,18.0,2.0,True,Win
2882827,2,HMB,CG,HMB,CG,Blue,Click,Nautilus,Viktor,SUP,9,19.0,2.0,True,Win
2882827,2,HMB,CG,CG,HMB,Red,CENTU,Braum,Braum,SUP,10,20.0,2.0,False,Loss
2882827,3,HMB,CG,HMB,CG,Blue,APP,Rumble,Yunara,TOP,1,7.0,1.0,True,Win
2882827,3,HMB,CG,CG,HMB,Red,TheMountain,KSante,Ashe,TOP,2,8.0,1.0,False,Loss
2882827,3,HMB,CG,CG,HMB,Red,Fragola,Malphite,K'Sante,JGL,3,9.0,1.0,False,Loss
2882827,3,HMB,CG,HMB,CG,Blue,adi1,Diana,Rumble,JGL,4,10.0,1.0,True,Win
2882827,3,HMB,CG,HMB,CG,Blue,Vigil,Yasuo,Rell,MID,5,11.0,1.0,True,Win
2882827,3,HMB,CG,CG,HMB,Red,Bisgaard,Syndra,Seraphine,MID,6,12.0,1.0,False,Loss
2882827,3,HMB,CG,CG,HMB,Red,Piskhello,Ashe,Syndra,BOT,7,17.0,2.0,False,Loss
2882827,3,HMB,CG,HMB,CG,Blue,Tyrone,Yunara,Diana,BOT,8,18.0,2.0,True,Win
2882827,3,HMB,CG,HMB,CG,Blue,Click,Rell,Yasuo,SUP,9,19.0,2.0,True,Win
2882827,3,HMB,CG,CG,HMB,Red,CENTU,Seraphine,Malphite,SUP,10,20.0,2.0,False,Loss
2882830,1,GMB,CG,GMB,CG,Blue,Dadan,KSante,Syndra,TOP,1,7.0,1.0,True,Win
2882830,1,GMB,CG,CG,GMB,Red,TheMountain,Sion,Sion,TOP,2,8.0,1.0,False,Loss
2882830,1,GMB,CG,CG,GMB,Red,Fragola,JarvanIV,Corki,JGL,3,9.0,1.0,False,Loss
